unix timestamp	doserate (uSv/h)	lat	lng	horizontal accuracy (radius of 68% confidence [m])	marker type (2-circle, 1-marker)	SE (1 Пѓ)[%]
1563529329	0.3707	53.664806366	37.134231567	3	2	11.0
1563529335	0.3439	53.664806366	37.134262085	4	2	11.апр
1563529339	0.3774	53.664829254	37.134277344	3	2	11.0
1563529347	0.3394	53.664852142	37.134277344	3	2	11.май
1563529349	0.4153	53.664867401	37.134300232	3	2	10.апр
1563529351	0.3059	53.664852142	37.134284973	3	2	12.апр
1563529353	0.4376	53.664833069	37.134269714	3	2	10.янв
1563529357	0.3796	53.664802551	37.134254456	3	2	10.авг
1563529361	0.3416	53.664779663	37.134281158	3	2	11.июл
1563529365	0.3617	53.664756775	37.134273529	3	2	11.янв
1563529369	0.3617	53.664733887	37.134284973	3	2	11.янв
1563529375	0.3707	53.664741516	37.134311676	3	2	11.0
1563529377	0.3394	53.664760590	37.134334564	3	2	11.авг
1563529381	0.3617	53.664775848	37.134365082	2	2	11.янв
1563529385	0.3305	53.664806366	37.134387970	3	2	11.сен
1563529389	0.3483	53.664821625	37.134429932	3	2	11.мар
1563529393	0.3394	53.664821625	37.134464264	3	2	11.май
1563529397	0.3595	53.664810181	37.134513855	3	2	11.0
1563529401	0.3975	53.664791107	37.134540558	3	2	10.июн
1563529405	0.3014	53.664772034	37.134548187	4	2	12.апр
1563529417	0.3148	53.664741516	37.134544373	3	2	12.июн
1563529437	0.2523	53.664722443	37.134510040	6	2	13.июл
1563529441	0.2501	53.664699554	37.134521484	6	2	12.июл
1563529455	0.2077	53.664722443	37.134540558	6	2	14.мар
1563529471	0.2077	53.664737701	37.134571075	6	2	14.сен
1563529487	0.1987	53.664726257	37.134601593	7	2	15.авг
1563529493	0.1987	53.664749146	37.134597778	5	2	14.янв
1563529499	0.1943	53.664768219	37.134574890	4	2	15.июн
1563529503	0.1719	53.664745331	37.134590149	6	2	14.сен
1563529525	0.2166	53.664737701	37.134552002	6	2	13.июн
1563529531	0.1876	53.664695740	37.134544373	5	2	16.фев
1563529545	0.2278	53.664714813	37.134555817	6	2	14.апр
1563529549	0.2166	53.664745331	37.134586334	6	2	14.апр
1563529557	0.1533	53.664760590	37.134567261	6	2	16.сен
1563529562	0.1809	53.664752960	37.134536743	6	2	15.авг
1563529566	0.1809	53.664741516	37.134510040	6	2	14.сен
1563529567	0.2478	53.664714813	37.134513855	6	2	13.фев
1563529582	0.1809	53.664730072	37.134536743	5	2	15.янв
1563529584	0.1965	53.664749146	37.134552002	6	2	14.сен
1563529604	0.2345	53.664726257	37.134521484	6	2	13.сен
1563529608	0.1920	53.664733887	37.134552002	7	2	14.янв
1563529624	0.2054	53.664749146	37.134590149	7	2	14.июл
1563529668	0.2121	53.664760590	37.134555817	5	2	14.июл
1563529672	0.2144	53.664737701	37.134544373	4	2	14.0
1563529676	0.2233	53.664749146	37.134586334	6	2	13.июн
1563529756	0.2032	53.664764404	37.134548187	6	2	14.мар
1563529762	0.2211	53.664741516	37.134555817	7	2	13.сен
1563529805	0.1518	53.664764404	37.134559631	6	2	16.сен
1563529832	0.1757	53.664745331	37.134590149	5	2	16.сен
1563529859	0.1928	53.664764404	37.134586334	8	2	16.сен
1563529927	0.1719	53.664783478	37.134578705	6	2	15.авг
1563529989	0.1786	53.664768219	37.134555817	5	2	15.янв
1563530045	0.1630	53.664752960	37.134582520	5	2	16.сен
1563530049	0.1652	53.664726257	37.134571075	6	2	16.апр
1563530069	0.1831	53.664741516	37.134597778	6	2	15.авг
1563530071	0.1719	53.664760590	37.134582520	6	2	16.фев
1563530093	0.1518	53.664745331	37.134571075	7	2	15.авг
1563530231	0.1786	53.664764404	37.134582520	5	2	16.июл
1563530283	0.1764	53.664791107	37.134578705	5	2	15.янв
1563530391	0.1682	53.664760590	37.134567261	5	2	15.авг
1563530449	0.2010	53.664745331	37.134605408	5	2	14.апр
1563530463	0.1831	53.664756775	37.134571075	5	2	16.0
1563530615	0.2144	53.664768219	37.134593964	4	2	14.0
1563530633	0.2278	53.664791107	37.134593964	3	2	13.июн
1563530731	0.2188	53.664772034	37.134574890	4	2	14.июл
1563530831	0.1764	53.664764404	37.134548187	5	2	16.0
1563530839	0.1548	53.664752960	37.134571075	6	2	16.сен
1563530881	0.3104	53.664730072	37.134567261	5	2	12.0
1563530901	0.2062	53.664752960	37.134559631	5	2	16.сен
1563530948	0.2032	53.664760590	37.134609222	7	2	13.сен
1563530978	0.2255	53.664775848	37.134582520	5	2	14.апр
1563531027	0.1965	53.664741516	37.134586334	5	2	15.фев
1563531095	0.1987	53.664722443	37.134574890	5	2	16.фев
1563531227	0.1563	53.664745331	37.134571075	5	2	16.сен
1563531319	0.1541	53.664726257	37.134597778	5	2	16.сен
1563531375	0.1422	53.664695740	37.134571075	6	2	16.сен
1563531377	0.1697	53.664676666	37.134552002	6	2	16.0
1563531393	0.1600	53.664699554	37.134540558	7	2	16.апр
1563531397	0.2858	53.664714813	37.134563446	6	2	12.июл
1563531485	0.2099	53.664733887	37.134552002	4	2	15.янв
1563531489	0.1697	53.664707184	37.134506226	6	2	16.июл
1563531497	0.1943	53.664714813	37.134536743	6	2	16.0
1563531503	0.2121	53.664688110	37.134517670	7	2	14.апр
1563531539	0.1853	53.664710999	37.134506226	8	2	15.фев
1563531545	0.2434	53.664730072	37.134544373	7	2	13.июн
